Date, Open, High, Low,Close
26/02/2008 23:00:00,158.89,160.94,158,160.77
27/02/2008 23:00:00,160.74,161.62,158.97,159.18
28/02/2008 23:00:00,159.17,162.51,158.45,162.07
29/02/2008 23:00:00,162.09,162.59,160.9,161.28
03/03/2008 23:00:00,161.17,163.49,160.33,161.96
04/03/2008 23:00:00,161.89,162.87,158.41,159.47
05/03/2008 23:00:00,159.42,164.49,159.09,164.17
06/03/2008 23:00:00,164.18,165.51,162.39,164.94
07/03/2008 23:00:00,165.12,166.08,163.45,164.74
10/03/2008 22:00:00,164.79,167.75,163.62,167.7
11/03/2008 22:00:00,167.45,169.26,166.15,168.29
12/03/2008 22:00:00,168.19,169.74,166.63,169.58
13/03/2008 22:00:00,169.6,170.52,168.3,169.85
14/03/2008 22:00:00,169.78,170.46,168.38,169.74
17/03/2008 22:00:00,169.64,171.34,162.77,165.71
18/03/2008 22:00:00,165.63,169.87,165.23,168.68
19/03/2008 22:00:00,168.87,168.88,162.78,162.99
20/03/2008 22:00:00,163.09,163.68,159.64,162.5
24/03/2008 22:00:00,162.69,163.41,160.94,161.53
25/03/2008 22:00:00,161.42,162.85,160.12,162.42
26/03/2008 22:00:00,162.54,167.35,162.43,167.08
27/03/2008 22:00:00,166.99,169.21,166.02,168.22
28/03/2008 22:00:00,168.18,168.62,165.7,166
31/03/2008 23:00:00,166.11,167.77,161.24,162.59
01/04/2008 23:00:00,162.56,163.54,160.54,161.79
02/04/2008 23:00:00,161.82,166.09,160.83,165.67
03/04/2008 23:00:00,165.52,167.43,164.2,165.16
04/04/2008 23:00:00,165.25,167.34,165.02,167.29
07/04/2008 23:00:00,167.11,170.47,166.85,169.9
08/04/2008 23:00:00,169.87,170.63,168.63,169.72
09/04/2008 23:00:00,169.74,173.2,168.94,171.84
10/04/2008 23:00:00,171.69,173.19,169.74,171.08
11/04/2008 23:00:00,171.05,171.81,169.91,171.24
14/04/2008 23:00:00,170.99,172.98,170.55,172.83
15/04/2008 23:00:00,172.79,175.07,172.79,174.89
16/04/2008 23:00:00,174.84,176.09,173.18,176.06
17/04/2008 23:00:00,175.99,176.53,175.13,175.91
18/04/2008 23:00:00,175.99,177.95,173.71,177.91
21/04/2008 23:00:00,178.06,178.54,176.53,178.36
22/04/2008 23:00:00,178.26,180.5,177.46,179.95
23/04/2008 23:00:00,179.85,180.08,177.97,179.57
24/04/2008 23:00:00,179.45,179.82,175.77,177.38
25/04/2008 23:00:00,177.47,181.07,176.03,180.35
28/04/2008 23:00:00,180.47,181.45,179.68,180.37
29/04/2008 23:00:00,180.36,180.36,176.49,176.92
30/04/2008 23:00:00,176.88,178.22,174.82,176.06
01/05/2008 23:00:00,176.12,176.75,171.82,173.72
02/05/2008 23:00:00,173.77,178.32,173.3,178.01
05/05/2008 23:00:00,178.02,181.88,177.57,181.64
06/05/2008 23:00:00,181.42,184.25,180.85,183.38
07/05/2008 23:00:00,183.28,185.42,182.06,185.35
08/05/2008 23:00:00,185.33,186.13,183.1,185.86
09/05/2008 23:00:00,185.8,187.79,185.6,187.63
12/05/2008 23:00:00,187.36,187.92,185.25,185.35
13/05/2008 23:00:00,185.28,188.5,184.62,187.46
14/05/2008 23:00:00,187.49,187.56,185.29,185.39
15/05/2008 23:00:00,185.35,188.16,182.27,186
16/05/2008 23:00:00,185.92,189.34,185.56,187.87
19/05/2008 23:00:00,187.96,189.29,186.8,189
20/05/2008 23:00:00,188.71,191.14,188.13,190.88
21/05/2008 23:00:00,190.95,195.95,190.45,195.86
22/05/2008 23:00:00,195.74,196.94,191.92,192.73
23/05/2008 23:00:00,192.6,195.56,192.01,193.55
26/05/2008 23:00:00,193.53,195.31,193.44,194.8
27/05/2008 23:00:00,194.83,195.5,190.03,190.29
28/05/2008 23:00:00,190.15,193.43,187.81,192.65
29/05/2008 23:00:00,192.6,194.97,187.96,188.33
30/05/2008 23:00:00,188.44,190.15,186.52,189.59
02/06/2008 23:00:00,189.48,191.2,187.07,189.44
03/06/2008 23:00:00,189.35,189.83,185.72,186.05
04/06/2008 23:00:00,186.08,186.93,183.69,184.06
05/06/2008 23:00:00,184.08,190.23,183.46,190
06/06/2008 23:00:00,190.05,200.97,189.66,199.46
09/06/2008 23:00:00,199.82,200.1,194.85,196.76
10/06/2008 23:00:00,196.87,199.83,192.65,193.39
11/06/2008 23:00:00,193.64,200.15,193.2,198.42
12/06/2008 23:00:00,198.39,199.31,193.4,198.66
13/06/2008 23:00:00,198.82,198.93,195.31,196.33
